species,model_type,iter,fold,auc
Amphiprion_bicinctus,EnvOnly,12,4,0.998
Amphiprion_bicinctus,EnvOnly,13,2,0.979
Amphiprion_bicinctus,EnvOnly,14,4,0.997
Amphiprion_bicinctus,EnvOnly,15,2,0.98
Amphiprion_bicinctus,EnvOnly,16,4,0.998
Amphiprion_bicinctus,EnvOnly,17,2,0.982
Amphiprion_bicinctus,EnvOnly,18,4,0.997
Amphiprion_bicinctus,EnvOnly,19,2,0.975
Amphiprion_bicinctus,EnvOnly,20,4,0.998
Amphiprion_bicinctus,EnvOnly,21,2,0.974
Amphiprion_bicinctus,EnvOnly,22,4,0.998
Amphiprion_bicinctus,EnvOnly,23,2,0.981
Amphiprion_bicinctus,EnvOnly,24,4,0.998
Amphiprion_bicinctus,EnvOnly,25,2,0.982
Amphiprion_bicinctus,EnvOnly,26,4,0.998
Amphiprion_bicinctus,EnvOnly,27,2,0.975
Amphiprion_bicinctus,EnvOnly,28,4,0.998
Amphiprion_bicinctus,EnvOnly,29,2,0.978
Amphiprion_bicinctus,EnvOnly,30,4,0.998
Amphiprion_bicinctus,EnvOnly,31,2,0.972
Amphiprion_bicinctus,EnvOnly,32,4,0.998
Amphiprion_bicinctus,EnvOnly,33,2,0.977
Amphiprion_bicinctus,EnvOnly,34,4,0.997
Amphiprion_bicinctus,EnvOnly,35,2,0.981
Amphiprion_bicinctus,EnvOnly,36,4,0.998
Amphiprion_bicinctus,EnvOnly,37,2,0.98
Amphiprion_bicinctus,EnvOnly,38,4,0.997
Amphiprion_bicinctus,EnvOnly,39,2,0.976
Amphiprion_bicinctus,EnvOnly,40,4,0.997
Amphiprion_chrysogaster,Combined,1,4,0.783
Amphiprion_chrysogaster,Combined,2,4,0.818
Amphiprion_chrysogaster,Combined,3,4,0.858
Amphiprion_chrysogaster,Combined,4,4,0.82
Amphiprion_chrysogaster,Combined,5,4,0.804
Amphiprion_chrysogaster,Combined,6,4,0.793
Amphiprion_chrysogaster,Combined,7,4,0.854
Amphiprion_chrysogaster,Combined,8,4,0.815
Amphiprion_chrysogaster,Combined,9,4,0.746
Amphiprion_chrysogaster,Combined,10,4,0.8
Amphiprion_chrysogaster,Combined,11,4,0.83
Amphiprion_chrysogaster,Combined,12,4,0.822
Amphiprion_chrysogaster,Combined,13,4,0.811
Amphiprion_chrysogaster,Combined,14,4,0.832
Amphiprion_chrysogaster,Combined,15,4,0.795
Amphiprion_chrysogaster,Combined,16,4,0.832
Amphiprion_chrysogaster,Combined,17,4,0.787
Amphiprion_chrysogaster,Combined,18,4,0.807
Amphiprion_chrysogaster,Combined,19,4,0.823
Amphiprion_chrysogaster,Combined,20,4,0.83
Amphiprion_chrysogaster,Combined,21,4,0.797
Amphiprion_chrysogaster,Combined,22,4,0.818
Amphiprion_chrysogaster,Combined,23,4,0.841
Amphiprion_chrysogaster,Combined,24,4,0.831
Amphiprion_chrysogaster,Combined,25,4,0.812
Amphiprion_chrysogaster,Combined,26,4,0.832
Amphiprion_chrysogaster,Combined,27,4,0.806
Amphiprion_chrysogaster,Combined,28,4,0.86
Amphiprion_chrysogaster,Combined,29,4,0.815
Amphiprion_chrysogaster,Combined,30,4,0.802
Amphiprion_chrysogaster,Combined,31,4,0.842
Amphiprion_chrysogaster,Combined,32,4,0.788
Amphiprion_chrysogaster,Combined,33,4,0.788
Amphiprion_chrysogaster,Combined,34,4,0.834
Amphiprion_chrysogaster,Combined,35,4,0.787
Amphiprion_chrysogaster,Combined,36,4,0.828
Amphiprion_chrysogaster,Combined,37,4,0.861
Amphiprion_chrysogaster,Combined,38,4,0.807
Amphiprion_chrysogaster,Combined,39,4,0.803
Amphiprion_chrysogaster,Combined,40,4,0.775
Amphiprion_chrysogaster,EnvOnly,1,4,0.802
Amphiprion_chrysogaster,EnvOnly,2,4,0.83
Amphiprion_chrysogaster,EnvOnly,3,4,0.898
Amphiprion_chrysogaster,EnvOnly,4,4,0.862
Amphiprion_chrysogaster,EnvOnly,5,4,0.902
Amphiprion_chrysogaster,EnvOnly,6,4,0.865
Amphiprion_chrysogaster,EnvOnly,7,4,0.91
Amphiprion_chrysogaster,EnvOnly,8,4,0.893
Amphiprion_chrysogaster,EnvOnly,9,4,0.761
Amphiprion_chrysogaster,EnvOnly,10,4,0.854
Amphiprion_chrysogaster,EnvOnly,11,4,0.886
Amphiprion_chrysogaster,EnvOnly,12,4,0.859
Amphiprion_chrysogaster,EnvOnly,13,4,0.906
Amphiprion_chrysogaster,EnvOnly,14,4,0.869
Amphiprion_chrysogaster,EnvOnly,15,4,0.803
Amphiprion_chrysogaster,EnvOnly,16,4,0.925
Amphiprion_chrysogaster,EnvOnly,17,4,0.829
Amphiprion_chrysogaster,EnvOnly,18,4,0.877
Amphiprion_chrysogaster,EnvOnly,19,4,0.892
Amphiprion_chrysogaster,EnvOnly,20,4,0.913
Amphiprion_chrysogaster,EnvOnly,21,4,0.851
Amphiprion_chrysogaster,EnvOnly,22,4,0.813
Amphiprion_chrysogaster,EnvOnly,23,4,0.882
Amphiprion_chrysogaster,EnvOnly,24,4,0.861
Amphiprion_chrysogaster,EnvOnly,25,4,0.855
Amphiprion_chrysogaster,EnvOnly,26,4,0.911
Amphiprion_chrysogaster,EnvOnly,27,4,0.915
Amphiprion_chrysogaster,EnvOnly,28,4,0.929
Amphiprion_chrysogaster,EnvOnly,29,4,0.882
Amphiprion_chrysogaster,EnvOnly,30,4,0.818
Amphiprion_chrysogaster,EnvOnly,31,4,0.923
Amphiprion_chrysogaster,EnvOnly,32,4,0.812
Amphiprion_chrysogaster,EnvOnly,33,4,0.84
Amphiprion_chrysogaster,EnvOnly,34,4,0.926
Amphiprion_chrysogaster,EnvOnly,35,4,0.783
Amphiprion_chrysogaster,EnvOnly,36,4,0.891
Amphiprion_chrysogaster,EnvOnly,37,4,0.935
Amphiprion_chrysogaster,EnvOnly,38,4,0.874
Amphiprion_chrysogaster,EnvOnly,39,4,0.936
Amphiprion_chrysogaster,EnvOnly,40,4,0.834
Amphiprion_chrysogaster,HostOnly,1,4,0.852
Amphiprion_chrysogaster,HostOnly,2,4,0.856
Amphiprion_chrysogaster,HostOnly,3,4,0.853
Amphiprion_chrysogaster,HostOnly,4,4,0.857
Amphiprion_chrysogaster,HostOnly,5,4,0.854
Amphiprion_chrysogaster,HostOnly,6,4,0.85
Amphiprion_chrysogaster,HostOnly,7,4,0.862
Amphiprion_chrysogaster,HostOnly,8,4,0.856
Amphiprion_chrysogaster,HostOnly,9,4,0.836
Amphiprion_chrysogaster,HostOnly,10,4,0.854
Amphiprion_chrysogaster,HostOnly,11,4,0.859
Amphiprion_chrysogaster,HostOnly,12,4,0.847
